Kimlik,Tür,"Stok kodu (SKU)","GTIN, UPC, EAN veya ISBN",İsim,Yayımlanmış,"Öne çıkan?","Katalogda görünürlük","Kısa açıklama",Açıklama,"İndirimli fiyatın başladığı tarih","İndirimli fiyatın bittiği tarih","Vergi durumu","Vergi sınıfı",Stokta?,Stok,"Düşük stok miktarı","Ön Siparişe İzin Ver?","Ayrı ayrı mı satılıyor?","Ağırlık (kg)","Uzunluk (cm)","Genişlik (cm)","Yükseklik (cm)","Müşteri değerlendirmelerine izin verilsin mi?","Satın alma notu","İndirimli satış fiyatı","Normal fiyat",Kategoriler,Etiketler,"Gönderim sınıfı",Görseller,"İndirme sınırı","İndirme sona erme günü",Ebeveyn,"Gruplanmış ürünler","Yukarı satışlar","Çapraz satışlar","Harici URL","Düğme metni",Konum,Markalar,"Blocksy Custom Data","Blocksy Variation Images","Nitelik 1 ismi","Nitelik 1 değer(ler)i","Nitelik 1 görünür","Nitelik 1 genel"
62,variable,F23212-S3,,"Bayyıldız Günlük Ayakkabı – Model F23212",1,0,visible,"Hakiki deri veya kaliteli tekstilden üretilmiş, rahat taban yapısına sahip günlük erkek ayakkabısı.","Hakiki deri veya kaliteli tekstilden üretilmiş, rahat taban yapısına sahip günlük erkek ayakkabısı. Günlük kullanımda konfor ve dayanıklılığı bir arada sunan bu model, doğal malzeme yapısı sayesinde ayağın nefes almasına yardımcı olur. Dengeli taban yapısı yürüyüş sırasında rahatlık sağlar ve uzun süreli kullanıma uygundur. Şehir hayatında, iş temposunda ve günlük kombinlerde güvenle tercih edilebilir.",,,taxable,,1,,,0,0,,,,,0,,,,BOT,,,"https://bayyildiz.com/wp-content/uploads/2026/01/F23212-1.jpeg, https://bayyildiz.com/wp-content/uploads/2026/01/F23212-2.jpeg",,,,,,,,,0,,,,Numara,"39, 40, 41, 42, 43, 44, 45",0,0
63,variable,F23212-V3,,"Bayyıldız Günlük Ayakkabı – Model F23212",1,0,visible,"Hakiki deri veya kaliteli tekstilden üretilmiş, rahat taban yapısına sahip günlük erkek ayakkabısı.","Hakiki deri veya kaliteli tekstilden üretilmiş, rahat taban yapısına sahip günlük erkek ayakkabısı. Günlük kullanımda konfor ve dayanıklılığı bir arada sunan bu model, doğal malzeme yapısı sayesinde ayağın nefes almasına yardımcı olur. Dengeli taban yapısı yürüyüş sırasında rahatlık sağlar ve uzun süreli kullanıma uygundur. Şehir hayatında, iş temposunda ve günlük kombinlerde güvenle tercih edilebilir.",,,taxable,,1,,,0,0,,,,,0,,,,BOT,,,"https://bayyildiz.com/wp-content/uploads/2026/01/F23212-3.jpeg, https://bayyildiz.com/wp-content/uploads/2026/01/F23212-4.jpeg",,,,,,,,,0,,,,Numara,"39, 40, 41, 42, 43, 44, 45",0,0
64,variation,"F23212-S3 - 39",,"Bayyıldız Günlük Ayakkabı – Model F23212 - 39",1,0,visible,,,,,taxable,,0,0,,0,0,,,,,0,,,"3790,0",,,,,,,F23212-S3,,,,,,1,,,,Numara,39,,0
65,variation,"F23212-S3 - 40",,"Bayyıldız Günlük Ayakkabı – Model F23212 - 40",1,0,visible,,,,,taxable,,0,0,,0,0,,,,,0,,,"3790,0",,,,,,,F23212-S3,,,,,,2,,,,Numara,40,,0
66,variation,"F23212-S3 - 41",,"Bayyıldız Günlük Ayakkabı – Model F23212 - 41",1,0,visible,,,,,taxable,,1,1,,0,0,,,,,0,,,"3790,0",,,,,,,F23212-S3,,,,,,3,,,,Numara,41,,0
67,variation,"F23212-S3 - 42",,"Bayyıldız Günlük Ayakkabı – Model F23212 - 42",1,0,visible,,,,,taxable,,1,3,,0,0,,,,,0,,,3790,,,,,,,F23212-S3,,,,,,4,,,,Numara,42,,0
68,variation,"F23212-S3 - 43",,"Bayyıldız Günlük Ayakkabı – Model F23212 - 43",1,0,visible,,,,,taxable,,1,2,,0,0,,,,,0,,,3790,,,,,,,F23212-S3,,,,,,5,,,,Numara,43,,0
69,variation,"F23212-S3 - 44",,"Bayyıldız Günlük Ayakkabı – Model F23212 - 44",1,0,visible,,,,,taxable,,1,1,,0,0,,,,,0,,,3790,,,,,,,F23212-S3,,,,,,6,,,,Numara,44,,0
70,variation,"F23212-S3 - 45",,"Bayyıldız Günlük Ayakkabı – Model F23212 - 45",1,0,visible,,,,,taxable,,1,1,,0,0,,,,,0,,,3790,,,,,,,F23212-S3,,,,,,7,,,"{""gallery_source"":""default"",""images"":[]}",Numara,45,,0
71,variation,"F23212-S3 - 46",,"Bayyıldız Günlük Ayakkabı – Model F23212 - 46",0,0,visible,,,,,taxable,,1,1,,0,0,,,,,0,,,3790,,,,,,,F23212-S3,,,,,,8,,,,Numara,46,,0
72,variation,"F23212-V3 - 39",,"Bayyıldız Günlük Ayakkabı – Model F23212 - 39",1,0,visible,,,,,taxable,,0,0,,0,0,,,,,0,,,"3790,0",,,,,,,F23212-V3,,,,,,0,,,,Numara,39,,0
